ID,カード名,属性,カード種別,レアリティ,種族,コスト,攻撃力,HP,効果
COR_001,イグニス,Red,Unit Card,Common,Human,3,2,5,登場時：自身のEXポケットに「火種」を1枚加える。自身がアクションカードを使ったとき、このユニットの攻撃力を＋1。
COR_002,ライガ,Red,Unit Card,Rare,Human,4,3,7,プレイ時：自身のEXポケットに「焔の洗礼」を1枚加える。自身がEXポケットからカードを使ったとき、ランダムな敵ユニット1体に2ダメージ。
COR_003,アッシュ,Red,Unit Card,Common,Human,2,1,4,EXポケットからアクションカードを使ったとき、このユニットは即時攻撃を行う。
COR_004,バーン,Red,Unit Card,Common,Beast,3,3,4,攻撃時：ランダムな敵ユニットに振り分け4ダメージ
COR_005,ツインバレット,Red,Unit Card,Epic,Human,5,4,6,登場時：正面の敵ユニット1体に4ダメージ。「火種」を3枚以上使っていた場合、代わりに7ダメージを与え、敵ヒーローに2ダメージ与える。
COR_006,爆奏のヴァルド,Red,Unit Card,Legendary,Human,6,4,8,登場時：自身の使用したアクションカードの数、敵ユニットに1ダメージを振り分ける。自身がEXポケットからカードを使うたび、敵リーダーに2ダメージ。
COR_007,スパーク,Red,Unit Card,Common,Human,3,2,5,登場時：正面の敵ユニットに1ダメージ。効果ダメージで敵ユニットが破壊されたとき、このユニットに+1/+1。
COR_008,ラッシュ,Red,Unit Card,Common,Human,3,3,4,攻撃時：正面の敵ユニットに3ダメージ
COR_009,スポッター,Red,Unit Card,Common,Human,3,1,6,場にいる間、自身のアクションカードのダメージを+1する。
COR_010,マルク,Red,Unit Card,Rare,Human,5,4,4,登場時：正面以外の全ての敵ユニットに5ダメージ。
COR_011,レグナ,Red,Unit Card,Epic,Human,5,2,7,登場時：敵ユニット1体に3ダメージ。自身の効果ダメージで敵ユニットが破壊されるたび、ランダムな味方ユニット1体に+2/+2を付与する。
COR_012,煉獄の覇者 カイゼル,Red,Unit Card,Legendary,Human,6,3,7,登場時：敵リーダーに自信のユニットが受けるダメージをすべて+1するを付与する。ランダムな敵ユニット一体に7ダメージを与える。
COR_013,クーリエ,Red,Unit Card,Common,Human,2,1,4,登場時：ランダムな味方ユニット1体に俊敏を付与する。
COR_014,トラッカー,Red,Unit Card,Common,Human,2,2,3,登場時：デッキから「火種」1枚を探してEXポケットに加える。
COR_015,ガイド,Red,Unit Card,Rare,Human,3,2,6,登場時：「火種」1枚をEXポケットに加える。自分が「火種」を使用したとき、このユニット攻撃力を+1する。
COR_016,メッセンジャー,Red,Unit Card,Common,Human,2,1,5,登場時：「火種」をEXポケットに加える。
COR_017,ブレイカー,Red,Unit Card,Epic,Machine,5,3,7,「火種」を3枚以上使用していた場合、攻撃時:正面のユニットに5ダメージを与えるを得る。俊敏
COR_018,スキャッター,Red,Unit Card,Common,Human,1,1,3,登場時：正面の敵ユニット1体に1ダメージ。正面のユニットのHPが3以下なら、代わりに3ダメージ。
COR_019,ダスター,Red,Unit Card,Common,Human,2,2,4,登場時：正面の敵ユニット1体に「そのユニットが受ける効果ダメージを+3する」を付与する。
COR_020,プロード,Red,Unit Card,Common,Human,3,2,5,登場時：ランダムな味方ユニット1体に「攻撃時：正面のユニットに自身の攻撃力分のダメージ与える」を付与する。
COR_021,シールド,Red,Unit Card,Common,Human,3,2,6,登場時：このユニットはアクションカードのダメージを受けない。
COR_022,ブレード,Red,Unit Card,Rare,Human,4,3,5,相手がアクションカードを使用した時、即時攻撃を行う
COR_023,コマンダー,Red,Unit Card,Common,Human,3,2,6,登場時：全ての味方ユニット+1攻撃力を付与する。
COR_024,アーマー,Red,Unit Card,Common,Machine,3,1,7,登場時：ランダムな味方ユニット1体に+2攻撃力を付与する。
COR_025,ハンター,Red,Unit Card,Epic,Beast,4,4,4,俊敏。攻撃時：このユニットの攻撃力を+1する。
COR_026,黎明の守護者レイシア,Red,Unit Card,Legendary,Human,6,4,7,登場時：味方ユニットすべてに、それぞれの正面の敵ユニットの攻撃力と同じ値の攻撃力強化を付与する
COR_027,火種,Red,Action Card,Common,,1,,,敵ユニット1体に2ダメージ。
COR_028,焔の洗礼,Red,Action Card,Common,,2,,,自身のユニット1体に+3攻撃力を付与する。そのユニットに敵ユニットを撃破したとき、自身のEXポケットに「火種」を1枚加える。
COR_029,灼熱一閃,Red,Action Card,Rare,,3,,,敵ユニット1体に6ダメージ。このカードの効果で敵ユニットを破壊した時、敵ヒーローに1ダメージ。
COR_030,残り焔の記憶,Red,Action Card,Rare,,2,,,自身の墓地の「残り焔の記憶」を除くアクションカードを1枚コピーして、MP-2してEXポケットに加える。（MPの最小値は1）
COR_031,無敵突破,Red,Action Card,Epic,,3,,,自身のユニット1体は敵ユニットにブロックされないを得る（一回のみ）。さらに+2攻撃力を得る。
COR_032,紅蓮の幕開け,Red,Action Card,Epic,,5,,,自身のEXポケットに「火種」を2枚加える。敵ユニット全体に5ダメージ。敵リーダーに３ダメージ
COR_033,鉄壁貫通撃,Red,Action Card,Common,,2,,,敵ユニット1体に5ダメージを与える。
COR_034,爆心撃,Red,Action Card,Rare,,3,,,敵ユニットに6ダメージ。破壊した場合、その正面の味方ユニット1体に+3/+3を付与。
COR_035,死角狙撃,Red,Action Card,Rare,,3,,,敵ユニット1体に6ダメージ。そのユニットを破壊した場合、ランダムな味方ユニット1体に+2/+2を付与する。
COR_036,散華の弾幕,Red,Action Card,Epic,,4,,,敵ユニットに合計9ダメージを振り分ける。
COR_037,焼却ルート,Red,Action Card,Epic,,3,,,敵ユニット一体に7ダメージ。破壊した場合、その正面の味方ユニット1体は次の攻撃で正面のユニットを無視してヒーローを攻撃する。
COR_038,三連焔の起動,Red,Action Card,Rare,-,3,-,-,「火種」が3枚以上使用していた場合、敵ユニット1体に6ダメージ。その後、自分のEXポケットの「火種」を2枚まで墓地に送り、その枚数だけ敵ヒーローに1ダメージ。
COR_039,焔の収束点,Red,Action Card,Epic,-,4,-,-,敵ユニットに「火種」を使用した回数×2ダメージを振り分ける。
COR_040,終末の開炉,Red,Action Card,Legendary,-,6,-,-,「火種」を使用した回数だけすべての敵ユニットと敵リーダーに1ダメージを与える。
COR_041,側面強襲,Red,Action Card,Common,-,2,-,-,敵ユニットに4ダメージを振り分ける。このアクションの効果で敵ユニットが破壊された場合、敵リーダーに1ダメージ
COR_042,拡散射撃,Red,Action Card,Common,-,2,-,-,敵ユニットに5ダメージを振り分ける
COR_043,戦慄の圧迫,Red,Action Card,Rare,-,2,-,-,敵ユニット1体に2ダメージ。13秒間にそのユニットが受けるダメージを+2する。
COR_044,完全制圧,Red,Action Card,Rare,-,3,-,-,全ての敵ユニットに2ダメージ。全ての敵ユニットは反撃することができなくなる。
COR_045,斬り込み特攻,Red,Action Card,Rare,-,3,-,-,味方ユニット1体に、その正面に敵ユニットがいるなら+5攻撃力を付与する。いないなら、代わりに+1攻撃力と「連撃」を付与する。
COR_046,ヒナ,Green,Unit Card,Common,Human,2,1,5,登場時：味方ヒーローのライフを3回復する。
COR_047,メットール,Green,Unit Card,Common,Machine,3,1,6,登場時：自身を除く味方ユニット1体のHPを2回復する。
COR_048,リーフ,Green,Unit Card,Common,Human,3,2,5,攻撃時に、このユニットに+1/+1する。
COR_049,プリースト,Green,Unit Card,Rare,Human,3,3,4,味方ユニットをプレイしたとき、そのユニットに+3HPを付与する。
COR_050,ガーディアン,Green,Unit Card,Common,Beast,3,2,7,味方ユニット1体に+2HPを付与する。5秒後そのユニットに+2/+2を付与する。
COR_051,エルダー,Green,Unit Card,Epic,Human,5,2,9,場に13秒ごとにこのユニットに+2/+2し、＜シールド＞を1得る。
COR_052,ミオ,Green,Unit Card,Common,Human,3,1,6,登場時：味方ヒーローのライフを3回復する。10秒このユニットが場にいれば、味方ヒーローのライフをさらに3回復する（1回のみ）。
COR_053,シャーマン,Green,Unit Card,Rare,Human,4,2,6,登場時：味方ヒーローはMPを2だけ前借りする。前借りした分、その後13秒間はMPの溜まる速度が半分になる。
COR_054,タイタン,Green,Unit Card,Epic,Beast,6,3,10,登場時：味方リーダーに棘：5を付与する。
COR_055,ソウヤー,Green,Unit Card,Common,Human,3,2,6,味方ユニット1体に棘：2を付与する。
COR_056,ワッチ,Green,Unit Card,Rare,Beast,4,2,8,棘：3。＜シールド＞。
COR_057,ヘラルド,Green,Unit Card,Rare,Human,4,2,7,登場時：棘を持つ味方ユニットすべてに+2HPを付与する。さらに、棘を持つ味方ユニット1体の棘を+2する。
COR_058,キーパー,Green,Unit Card,Epic,Human,5,3,7,登場時：ランダムな味方ユニット1体に不屈（HPが0になるダメージを受けた時、HP1で耐える、1回）と棘：２を付与する。
COR_059,プロテクター,Green,Unit Card,Epic,Beast,5,2,9,棘：３。攻撃時：＜シールド＞1を得る（1回のみ）。
COR_060,硬芽のバインダー,Green,Unit Card,Legendary,Human,6,3,8,登場時：味方ユニット1体に「攻撃した敵に3ダメージ」と＜シールド＞1を付与する。自身が場に15秒いることで、全ての味方ユニットに＜シールド＞1を付与する（1回のみ）。
COR_061,棘冠のドラゴン,Green,Unit Card,Legendary,Beast,7,4,9,登場時：このユニットに「攻撃した敵に4ダメージ」を付与する。このユニットに＜シールド＞2を付与する。味方ユニットが攻撃したとき、ランダムな味方ユニット1体の棘を+1する（場にいる間、2回まで）。
COR_062,森契のペイヤー,Green,Unit Card,Legendary,Human,3,2,6,登場時：味方ヒーローはMPを5だけ前借りする。前借りした分、その後30秒間はMPの溜まる速度が0になる。このユニットが場に20秒いることで、残り時間を打ち消す（1回のみ）。
COR_063,棘魂のロード,Green,Unit Card,Legendary,Human,6,3,10,味方ユニット1体に＜シールド＞3を付与する。そのユニットに「攻撃した敵に、受けたダメージ+4のダメージ」を付与する。場に棘を持つ味方ユニットが2体以上いる場合、全ての味方ユニットに＜シールド＞1を付与する。
COR_064,スプリッツ,Green,Unit Card,Common,Spirit,2,1,5,登場時：味方ヒーローのライフを4回復する。
COR_065,ディフェンダー,Green,Unit Card,Common,Human,3,1,6,登場時：味方ユニット1体に+2HPを付与する。5秒後そのユニットに+2/+2を付与する。
COR_066,フラッグ,Green,Unit Card,Common,Human,3,2,6,登場時：棘を持つ味方ユニットすべてに+2HPを付与する。
COR_067,テイラー,Green,Unit Card,Common,Human,2,1,6,登場時：味方ユニット1体に＜シールド＞1を付与する。そのユニットに棘：3を付与する。
COR_068,ミキサー,Green,Unit Card,Common,Human,2,1,6,登場時：味方ユニット1体に硬化（受ける戦闘ダメージ-2、10秒間）を付与する。場に棘を持つ味方ユニットが2体以上いる場合、さらにそのユニットに棘：3を付与する。
COR_069,メンター,Green,Unit Card,Common,Human,2,1,5,登場時：味方ヒーローにMPブースト20（秒数制限なし）を付与する。
COR_070,リベラー,Green,Unit Card,Common,Human,3,2,6,登場時：このユニットに「このユニットに攻撃した敵ユニットに3ダメージ」を付与する。このユニットに＜シールド＞1を付与する。
COR_071,ポリッシャー,Green,Unit Card,Common,Human,3,2,5,登場時：味方ユニット1体に硬化（次に受ける戦闘ダメージを-4、1回）を付与する。そのユニットが既に「攻撃した敵にダメージ」を持つ場合、そのダメージを+2する。
COR_072,古樹の皮,Green,Action Card,Common,,2,,,死亡時：ランダムな味方ユニット1体に＜シールド＞1を付与する。このユニットが場に10秒以上いた場合、代わりにそのユニットの棘を+2する。
COR_073,蘇生の息吹,Green,Action Card,Common,,2,,,登場時：味方ユニットすべてに、5秒ごとにHPを1回復（20秒間）を付与する。
COR_074,緑の契約,Green,Action Card,Rare,,3,,,味方ヒーローのMPを2回復する。
COR_075,棘壁の刻印,Green,Action Card,Rare,,3,,,棘を持つ味方ユニット1体に+5HPを付与する。さらにそのユニットに硬化を付与する。
COR_076,時限契約,Green,Action Card,Rare,,3,,,登場時：13秒後に味方ヒーローのMPを3回復する。
COR_077,荊棘の交響,Green,Action Card,Epic,,4,,,味方ユニットすべてに棘：5を付与する。
COR_078,森の奔流,Green,Action Card,Epic,,3,,,味方ヒーローにMPブースト30（30秒）を付与する。
COR_079,不屈の祝福,Green,Action Card,Rare,,3,,,登場時：ランダムな味方ユニット1体に不屈（HPが0になるダメージを受けた時、HP1で耐える、1回）と「攻撃した敵に2ダメージ」を付与する。
COR_080,棘返しの契り,Green,Action Card,Rare,,3,,,味方ユニット1体に「このユニットに攻撃した敵に、このユニットの攻撃力と同じダメージ」を付与する。そのユニットに再生（5秒ごとにHPを1回復、15秒間）を付与する。
COR_081,長命の加護,Green,Action Card,Common,,2,,,登場時：味方ヒーローにMPブースト20（秒数制限なし）を付与する。
COR_082,棘の鎧,Green,Action Card,Common,,2,,,味方ユニット1体に＜シールド＞2を付与する。そのユニットに「攻撃した敵に2ダメージ」を付与する。
COR_083,硬化の輪,Green,Action Card,Common,,2,,,味方ユニット1体に硬化（受ける戦闘ダメージ-1、15秒間）を付与する。そのユニットの棘を+2する。
COR_084,森羅の結界,Green,Action Card,Epic,,4,,,味方ユニットすべてに硬化を付与する。棘を持つ味方ユニットすべてに+2HPを付与し、それらの棘を+3する。
COR_085,棘の返礼,Green,Action Card,Common,,2,,,味方ユニット1体に「このユニットに攻撃した敵に、受けたダメージ+2のダメージを与える」を付与する。シールドを付与。
COR_086,大樹の号令,Green,Action Card,Legendary,,5,,,味方ユニットすべてに硬化（受ける戦闘ダメージ-1、20秒間）を付与する。全ての味方ユニットには、棘を+2する。
COR_087,聖樹の抱擁,Green,Action Card,Legendary,,5,,,味方ヒーローのMPを4回復する。
COR_088,荊王の刻印,Green,Action Card,Epic,,4,,,味方ユニット1体に＜シールド＞2を付与する。そのユニットに「攻撃した敵に、このユニットの攻撃力分のダメージ」を付与する。既に棘を持つ場合、そのダメージを+2する。
COR_089,棘血の盟約,Green,Action Card,Epic,,4,,,棘を持つ味方ユニットすべてに+5HPを付与する。棘を持つ味方ユニット1体に不屈（HPが0になるダメージを受けた時、HP1で耐える、1回）を付与する。
COR_090,借時の対価,Green,Action Card,Legendary,,3,,,味方ヒーローはMPを10だけ前借りする。20秒間はMPの溜まる速度が0になる。
COR_091,ミスト,Purple,Unit Card,Common,Human,3,2,5,登場時：相手の手札を1枚公開させる。
COR_092,ウォッチャー,Purple,Unit Card,Common,Human,3,2,5,登場時：自分のEXポケットにカードが1枚以上ある場合、相手の手札を1枚公開させる。
COR_093,ジャマー,Purple,Unit Card,Common,Spirit,1,1,3,登場時：相手の公開中の1枚のコストを、+1する。
COR_094,チャージャー,Purple,Unit Card,Common,Human,1,1,3,登場時：自分のEXポケットにカードを1枚加える。
COR_095,スパイ,Purple,Unit Card,Common,Human,3,2,5,登場時：ランダムな相手の手札から一枚、カードをデッキの一番下に戻す。
COR_096,プレッシャー,Purple,Unit Card,Rare,Spirit,3,2,5,公開されている相手の手札が1枚以上なら、相手の手札の公開カードのうちコストが最も低い1枚のコストを＋2する。
COR_097,リバウンダー,Purple,Unit Card,Rare,Human,3,2,6,公開されている相手の手札が2枚以上なら、正面のコスト6以下の相手ユニット1体を相手のEXポケットに戻す。
COR_098,イリュージョン,Purple,Unit Card,Rare,Human,3,1,6,公開されている相手の手札のうちコスト5以上のカードが1枚以上ある場合、手札のアクションカードのコストを全て-1する。
COR_099,バインド,Purple,Unit Card,Common,Spirit,3,2,5,公開されている相手の手札が2枚以上なら、相手の手札1枚のコストをこのバトル中+1する。
COR_100,ウェイト,Purple,Unit Card,Common,Human,3,2,5,公開されている相手の手札が2枚以上なら、相手の手札1枚のコストを10秒間+2する。
COR_101,ロック,Purple,Unit Card,Rare,Spirit,4,2,5,公開されている相手の手札が2枚以上なら、相手の手札すべてのコストを5秒間+1する。
COR_102,オーダー,Purple,Unit Card,Rare,Human,3,2,5,登場時：相手のEXポケットのカードを1枚見る。その後、そのカードを相手のEXの一番上か一番下に置き直す。
COR_103,スタナー,Purple,Unit Card,Common,Spirit,3,2,5,登場時：敵ユニット1体を5秒間停止させる。
COR_104,ペトリファー,Purple,Unit Card,Common,Spirit,3,2,5,登場時：ランダムな敵ユニット1体を5秒間停止させる。
COR_105,スタッガー,Purple,Unit Card,Epic,Human,4,2,7,登場時：敵ユニット1体を13秒間停止させる。
COR_106,ポイズナー,Purple,Unit Card,Common,Spirit,2,1,4,登場時：敵ユニット1体に毒：1を付与する。
COR_107,ベノマー,Purple,Unit Card,Rare,Human,3,2,5,登場時：敵ユニット1体に毒：2を付与する。
COR_108,フィニッシャー,Purple,Unit Card,Common,Human,3,2,5,登場時：停止状態の敵ユニット1体に5ダメージを与える。
COR_109,リクレイマー,Purple,Unit Card,Epic,Human,4,2,7,登場時：停止状態の敵ユニット1体を相手のEXポケットに戻す。戻したカードのMPを-1する（最低1）。
COR_110,ディスポーザー,Purple,Unit Card,Common,Human,3,2,5,登場時：毒状態の敵ユニット1体を相手のデッキの一番下に戻す。
COR_111,アンチドート,Purple,Unit Card,Epic,Human,4,2,6,登場時：毒状態の敵ユニット1体を相手のEXポケットに戻す。
COR_112,リターナー,Purple,Unit Card,Common,Human,3,2,5,登場時：コスト4以下の敵ユニット1体を相手のEXポケットに戻す。
COR_113,ボトム送り,Purple,Unit Card,Common,Human,3,2,5,登場時：敵ユニット1体を相手のデッキの一番下に戻す。
COR_114,バウンス,Purple,Unit Card,Rare,Human,3,2,5,登場時：コスト3以下の敵ユニット1体を相手のEXポケットに戻す。
COR_115,シャッフラー,Purple,Unit Card,Common,Spirit,3,2,5,登場時：ランダムな敵ユニット1体を相手のEXポケットに戻す。
COR_116,リターン,Purple,Unit Card,Epic,Human,4,2,7,登場時：敵ユニット1体を相手のEXポケットに戻す。自分のEXポケットにデッキから1枚加える。
COR_117,手札撹乱,Purple,Action Card,Common,,2,,,相手の手札を1枚選び、墓地に捨てさせる。
COR_118,手札混線,Purple,Action Card,Common,,2,,,相手の手札1枚を選び、そのカードを相手のデッキのランダムな位置に戻す。相手はデッキから1枚引く。その後、相手の手札を1枚公開させる。
COR_119,永続の縛,Purple,Action Card,Rare,,3,,,敵ユニット1体を5秒間停止させる。自分のEXポケットに1枚以上ある場合、代わりに13秒間停止させる。
COR_120,正面封鎖,Purple,Action Card,Rare,,3,,,正面の敵ユニットを13秒間停止させる。
COR_121,全員静止,Purple,Action Card,Epic,,4,,,敵ユニットすべてを5秒間停止させる。
COR_122,毒牙の一刺し,Purple,Action Card,Common,,2,,,敵ユニット1体に毒：2を付与する。
COR_123,瘴気の息,Purple,Action Card,Common,,2,,,ランダムな敵ユニット1体に毒：2を付与する。
COR_124,猛毒注入,Purple,Action Card,Rare,,3,,,正面の敵ユニットに毒：3を付与する。
COR_125,毒の拡散,Purple,Action Card,Epic,,4,,,敵ユニットすべてに毒：1を付与する。
COR_126,小魔力反射,Purple,Action Card,Rare,,2,,,相手がプレイしたコスト2以下のアクションカード1枚を反射する。反射したカードは相手の手札に戻る。
COR_127,デッキ送還,Purple,Action Card,Common,,2,,,停止状態の敵ユニット1体を相手のデッキの一番下に戻す。
COR_128,二重処分,Purple,Action Card,Rare,,4,,,停止状態の敵ユニットが2体以上いる場合、そのうち1体を相手のEXポケットに戻す。もう1体に3ダメージを与える。
COR_129,毒抜き,Purple,Action Card,Rare,,3,,,毒状態の敵ユニット1体を相手のEXポケットに戻す。
COR_130,毒即時爆発,Purple,Action Card,Rare,,3,,,毒状態の敵ユニット1体に、毒の残りダメージを即時に与える。
COR_131,毒増幅,Purple,Action Card,Epic,,4,,,毒状態の敵ユニットが2体以上いる場合、そのうち1体の毒を+2する。
COR_132,魔力反射,Purple,Action Card,Rare,,3,,,相手がプレイしたコスト3以下のアクションカード1枚を反射する。反射したカードは相手の手札に戻る。
COR_133,高位魔力反射,Purple,Action Card,Rare,,4,,,相手がプレイしたコスト4以下のアクションカード1枚を反射する。反射したカードは相手の手札に戻る。
COR_134,沈殿ドロー,Purple,Action Card,Rare,,3,,,敵ユニット1体を選び、相手のデッキの一番下に戻す。相手は1枚引く。
COR_135,虚空の重還,Purple,Action Card,Legendary,,5,,,敵ユニット1体を相手のEXポケットに戻す。そのカードのMPを-3する（最低1）。相手の手札を1枚公開させる。
COR_136,ハーヴェスター,Black,Unit Card,Common,Human,3,2,5,登場時：自分の墓地が3枚以上なら、このユニットに+1/+1を付与する。墓地が6枚以上なら、代わりに+2/+2を付与する。
COR_137,グラッシャー,Black,Unit Card,Rare,Human,4,2,7,登場時：自分の墓地の枚数が5枚以上なら、味方ユニットすべてに+1/+1を付与する。
COR_138,シード,Black,Unit Card,Common,Human,1,1,3,登場時：自分の墓地が2枚以上なら、味方ユニット1体に+1/+1を付与する。墓地が5枚以上なら、そのユニットに＜シールド＞1を付与する。
COR_139,ヘイラー,Black,Unit Card,Common,Human,3,2,5,死亡時：自分の墓地が4枚以上なら、ランダムな味方ユニット1体に+2/+2を付与する。
COR_140,ヒーラー,Black,Unit Card,Rare,Human,3,2,5,登場時：自分の墓地が6枚以上なら、味方ヒーローのライフを5回復する。墓地が10枚以上なら、代わりに10回復する。
COR_141,ネクロ,Black,Unit Card,Rare,Human,4,2,7,登場時：自分の墓地が5枚以上なら、このユニットに+2/+1を付与する。味方ユニット1体に+1/+1を付与する。
COR_142,グラヴェラー,Black,Unit Card,Common,Human,3,2,5,登場時：自分の墓地が3枚以上なら、味方ユニット1体の攻撃力を墓地の枚数（最大+5）だけ上げる。
COR_143,レガシー,Black,Unit Card,Epic,Human,5,2,8,死亡時：自分の墓地が7枚以上なら、味方ユニットすべてに+1/+1を付与する。
COR_144,ショット,Black,Unit Card,Common,Human,3,2,5,登場時：自分の墓地が4枚以上なら、敵ユニット1体に4ダメージを与える。墓地が8枚以上なら、代わりに8ダメージを与える。
COR_145,リーパー,Black,Unit Card,Rare,Human,4,2,7,登場時：自分の墓地が6枚以上なら、敵ユニット1体に5ダメージを与え、破壊した場合そのユニットを除外する。
COR_146,ダブルタップ,Black,Unit Card,Common,Human,3,2,5,登場時：自分の墓地が3枚以上なら、敵ユニット1体に3ダメージ。墓地が7枚以上なら、ランダムな敵ユニット1体にさらに4ダメージ。
COR_147,ディスカード,Black,Unit Card,Common,Human,3,2,5,登場時：【代償】自分の手札を1枚捨てる。敵ユニット1体に6ダメージを与える。破壊した場合除外する。
COR_148,サクリファイス,Black,Unit Card,Common,Human,3,2,5,登場時：【代償】味方ヒーローのライフを2減らす。コスト4以下の敵ユニット1体を破壊する。破壊したカードを除外する。
COR_149,クラッシャー,Black,Unit Card,Common,Human,2,1,4,登場時：コスト2以下の敵ユニット1体を破壊する。破壊したカードを除外する。
COR_150,デストロイ,Black,Unit Card,Common,Human,3,2,5,登場時：コスト3以下の敵ユニット1体を破壊する。破壊したカードを除外する。
COR_151,スラッシャー,Black,Unit Card,Common,Human,3,2,5,登場時：コスト3以下の敵ユニット1体に5ダメージを与える。破壊した場合、そのユニットを除外する。
COR_152,エリミネーター,Black,Unit Card,Rare,Human,3,2,5,登場時：コスト4以下の敵ユニット1体を破壊する。破壊したカードを除外する。
COR_153,キラー,Black,Unit Card,Common,Human,3,2,5,登場時：コスト4以下の敵ユニット1体を破壊する。
COR_154,バニッシャー,Black,Unit Card,Common,Human,3,2,5,登場時：コスト5以下の敵ユニット1体を破壊する。自分の墓地が4枚以上なら、破壊したカードを除外する。
COR_155,オブリテイター,Black,Unit Card,Rare,Human,3,2,5,登場時：コスト6以下の敵ユニット1体を破壊する。
COR_156,フロントブレイカー,Black,Unit Card,Common,Human,3,2,5,登場時：正面のコスト3以下の敵ユニット1体を破壊する。破壊したカードを除外する。
COR_157,ランダムキラー,Black,Unit Card,Common,Human,3,2,5,登場時：ランダムなコスト2以下の敵ユニット1体を破壊する。破壊したカードを除外する。
COR_158,ハイコストハンター,Black,Unit Card,Rare,Human,3,2,5,登場時：コスト4以上の敵ユニット1体に4ダメージを与える。破壊した場合、そのユニットを除外する。
COR_159,デストロイヤー,Black,Unit Card,Epic,Human,4,2,7,登場時：コスト5以下の敵ユニット1体を破壊する。破壊したカードを除外する。
COR_160,コンディショナー,Black,Unit Card,Rare,Human,3,2,5,登場時：コスト2以下の敵ユニット1体を破壊する。自分の墓地が5枚以上なら、代わりにコスト4以下の敵ユニット1体を破壊する。破壊したカードを除外する。
COR_161,ウィークハンター,Black,Unit Card,Common,Human,1,1,3,登場時：コスト1の敵ユニット1体を破壊する。コスト2以下の敵ユニット1体に3ダメージを与える。破壊した場合除外する。
COR_162,収穫の恵み,Black,Action Card,Common,,2,,,自分の墓地が4枚以上なら、味方ユニット1体に+2/+2を付与する。墓地が8枚以上なら、代わりに+3/+3を付与する。
COR_163,大収穫の祝福,Black,Action Card,Epic,,4,,,自分の墓地が8枚以上なら、味方ユニット1体に+3/+3を付与し、デッキから1枚引く。
COR_164,墓地破壊,Black,Action Card,Rare,,3,,,自分の墓地が5枚以上なら、敵ユニット1体を破壊する。墓地が10枚以上なら、代わりに敵ユニット1体を破壊し、その正面の味方以外の敵ユニット1体に3ダメージ。
COR_165,代償の一撃,Black,Action Card,Epic,,4,,,【代償】味方ユニット1体を破壊する。その後、敵ユニット1体に8ダメージを与え、デッキから2枚引く。破壊した敵は除外する。
COR_166,血の代償,Black,Action Card,Epic,,4,,,【代償】味方ヒーローのライフを5減らす。敵ユニット1体に10ダメージを与える。破壊した場合そのユニットを除外する。
COR_167,充填の代償,Black,Action Card,Rare,,3,,,【代償】味方ユニット1体を破壊する。自分のEXポケットにデッキから2枚加える。味方ヒーローのライフを3回復する。
COR_168,全体弾幕,Black,Action Card,Epic,,4,,,【代償】味方ヒーローのライフを3減らす。敵ユニット全体に4ダメージを与える。破壊したユニットは除外する。
COR_169,二重破壊,Black,Action Card,Rare,,3,,,【代償】味方ユニット1体を破壊する。敵ユニット1体を破壊する。破壊したカードを除外する。
COR_170,高コスト破壊,Black,Action Card,Rare,,3,,,【代償】味方ヒーローのライフを4減らす。コスト6以下の敵ユニット1体を破壊する。破壊したカードを除外する。
COR_171,回復の代償,Black,Action Card,Epic,,4,,,【代償】味方ユニット1体を破壊する。味方ヒーローのライフを8回復し、デッキから3枚引く。
COR_172,乱撃の代償,Black,Action Card,Rare,,3,,,【代償】味方ユニット1体を破壊する。ランダムな敵ユニット1体に5ダメージを与える。デッキから1枚引く。破壊した場合除外する。
COR_173,収穫条件破壊,Black,Action Card,Rare,,3,,,自分の墓地が5枚以上なら、敵ユニット1体を破壊する。破壊したカードを除外する。墓地が10枚以上なら、代わりに敵ユニット1体を破壊し、ランダムな敵ユニット1体に3ダメージを与える。
COR_174,四重撃,Black,Action Card,Rare,,3,,,コスト4以下の敵ユニット1体に6ダメージを与える。破壊した場合、そのユニットを除外する。
COR_175,五重破壊,Black,Action Card,Rare,,3,,,コスト5以下の敵ユニット1体を破壊する。破壊したカードを除外する。
COR_176,五重撃,Black,Action Card,Rare,,4,,,コスト5以下の敵ユニット1体に7ダメージを与える。破壊した場合、そのユニットを除外する。
COR_177,六重破壊,Black,Action Card,Epic,,4,,,コスト6以下の敵ユニット1体を破壊する。破壊したカードを除外する。
COR_178,二体破壊,Black,Action Card,Epic,,4,,,コスト3以下の敵ユニットを2体まで破壊する。破壊したカードを除外する。
COR_179,六重撃,Black,Action Card,Epic,,4,,,コスト6以下の敵ユニット1体に8ダメージを与える。破壊した場合、そのユニットを除外する。
COR_180,終焉の殲滅,Black,Action Card,Legendary,,5,,,コスト7以下の敵ユニット1体を破壊する。破壊したカードを除外する。自分の墓地が8枚以上なら、代わりに敵ユニット1体を破壊し、敵ヒーローに3ダメージを与える。
